vvtrpm,0,,,,,,,,
co,0.7,,,,,,,,
exheat,0.5,,,,,,,,
blockmaterial,steel,,,,,,,,
displacement,6.117073172,,,,,,,,
lhv,44147,,,,,,,,
cylinderdrag,1,,,,,,,,
nox,0.25,,,,,,,,
cylinders,8,,,,,,,,
hc,0.04,,,,,,,,
bore,157.8983928,,,,,,,,
fueltype,biodiesel,,,,,,,,
pm,0.04,,,,,,,,
# RPM,Nm,g/kWh,,,,,,,
500,389.5609757,221,,,,,,,
1000,489.3658538,214,,,,,,,
1500,618.0989398,199,,,,,,,
2000,682.5365855,198,,,,,,,
2500,611.3066438,208,,,,,,,
3000,654.3245188,217,,,,,,,
3500,569.5340229,230,,,,,,,
4000,498.9507466,242,,,,,,,
4500,336.1545757,275,,,,,,,
# g/kWh by RPM/Nm,,,,,,,,,
,48.67812162,97.35624327,194.7124865,292.0687298,389.4249729,486.7812162,584.1374595,681.4937028,778.8499461
500,500,334.1176471,240,224.2307692,220,-1,-1,-1,-1
1000,500,334.1176471,240,219.5348837,209,213,-1,-1,-1
1500,500,336,242.5,220,208.8349515,204.8543689,200.8737864,-1,-1
2000,500,352.9411765,246.3157895,228.2758621,213.9393939,203.0769231,199,197,-1
2500,500,400,270.8333333,244.7619048,225.5172414,211.1290323,207.8947368,-1,-1
3000,500,433.3333333,295.3703704,250,232.0833333,217.4242424,216.6,-1,-1
3500,600,500,283.7037037,262.4390244,240.3571429,228.3333333,-1,-1,-1
4000,600,510,286.5217391,271.8181818,247.962963,241.6129032,-1,-1,-1
4500,600,510,320,280,-1,-1,-1,-1,-1
